datetime,consumpyion
00:15,135.02
00:30,132.91
00:45,135.68
01:00,142.86
01:15,145.84
01:30,147.33
01:45,145.1
02:00,141.41
02:15,142.94
02:30,149.31
02:45,151.92
03:00,148.48
03:15,148.88
03:30,145.3
03:45,151.54
04:00,143.02
04:15,134.19
04:30,135.82
04:45,145.62
05:00,135.12
05:15,139.06
05:30,124.86
05:45,128.1
06:00,128.27
06:15,127.54
06:30,136.24
06:45,130.11
07:00,131.18
07:15,134.38
07:30,130.51
07:45,127.79
08:00,128.69
08:15,137.68
08:30,138.86
08:45,142.59
09:00,151.46
09:15,143.12
09:30,151.02
09:45,140.61
10:00,136
10:15,132.61
10:30,128.72
10:45,139.62
11:00,130.58
11:15,129.95
11:30,128.26
11:45,123.06
12:00,116.35
12:15,112.77
12:30,111.82
12:45,108.85
13:00,87.46
13:15,84.35
13:30,91.17
13:45,87.62
14:00,92.3
14:15,94.3
14:30,83.84
14:45,88.05
15:00,87.98
15:15,89.87
15:30,92.21
15:45,107.92
16:00,107.49
16:15,113.95
16:30,109.95
16:45,110.83
17:00,126.3
17:15,134.45
17:30,126.61
17:45,135.36
18:00,129.42
18:15,124.48
18:30,123.94
18:45,128.7
19:00,118.48
19:15,133.76
19:30,136.93
19:45,131.73
20:00,133.18
20:15,134.21
20:30,131.42
20:45,133.71
21:00,144.58
21:15,124.78
21:30,133.38
21:45,129.18
22:00,132.4
22:15,138.22
22:30,146.32
22:45,136.82
23:00,139.94
23:15,140.16
23:30,134.48
23:45,138.62
00:00,128.91
00:15,134.96
00:30,137.01
00:45,137.9
01:00,139.2
01:15,137.17
01:30,148.45
01:45,135.17
02:00,147.3
02:15,147.26
02:30,145.26
02:45,138.19
03:00,142.74
03:15,149.97
03:30,146.74
03:45,152.9
04:00,145.04
04:15,147.38
04:30,139.9
04:45,139.47
05:00,125.34
05:15,124.85
05:30,132.21
05:45,131.3
06:00,129.22
06:15,135.28
06:30,142.11
06:45,129.49
07:00,138.34
07:15,128.03
07:30,136.37
07:45,128.9
08:00,114.37
08:15,120.94
08:30,133.5
08:45,122.66
09:00,122.06
09:15,127.63
09:30,133.66
09:45,123.17
10:00,123.3
10:15,117.1
10:30,116.9
10:45,112.34
11:00,125.07
11:15,129.12
11:30,117.66
11:45,124.06
12:00,109.25
12:15,102.77
12:30,105.28
12:45,108.32
13:00,102.42
13:15,107.09
13:30,124.37
13:45,108.74
14:00,105.82
14:15,98.66
14:30,96.51
14:45,100.64
15:00,111.31
15:15,112.3
15:30,108.72
15:45,109.04
16:00,108.7
16:15,115.23
16:30,120.93
16:45,115.92
17:00,135.26
17:15,131.86
17:30,156.56
17:45,160.5
18:00,153.65
18:15,151.82
18:30,158.46
18:45,153.15
19:00,155.98
19:15,137.06
19:30,143.07
19:45,139.98
20:00,143.54
20:15,150.69
20:30,149.33
20:45,144.43
21:00,146.82
21:15,142.05
21:30,144.85
21:45,143.52
22:00,140.22
22:15,153.3
22:30,151.94
22:45,152.88
23:00,152.05
23:15,146.69
23:30,145.47
23:45,147.87
00:00,144.69
00:15,154.24
00:30,164.02
00:45,149.87
01:00,147.58
01:15,149.18
01:30,160.67
01:45,152.91
02:00,164.06
02:15,157.22
02:30,165.74
02:45,150.98
03:00,160.3
03:15,146.75
03:30,142.06
03:45,134.11
04:00,141.89
04:15,161.28
04:30,157.47
04:45,156.5
05:00,133.23
05:15,133.66
05:30,132.22
05:45,128.56
06:00,138.85
06:15,140.4
06:30,145.44
06:45,142.98
07:00,142.03
07:15,148.05
07:30,155.41
07:45,154.64
08:00,132.3
08:15,138.29
08:30,138.99
08:45,137.74
09:00,149.95
09:15,142.18
09:30,140.66
09:45,136
10:00,122.7
10:15,131.49
10:30,115.26
10:45,120.21
11:00,113.5
11:15,118.8
11:30,127.14
11:45,114.06
12:00,112.18
12:15,108.56
12:30,107.09
12:45,115.57
13:00,113.12
13:15,109.78
13:30,107.74
13:45,118.37
14:00,107.2
14:15,114.26
14:30,102.38
14:45,95.63
15:00,90.88
15:15,95.31
15:30,113.06
15:45,111.98
16:00,115.06
16:15,109.55
16:30,124.18
16:45,138.8
17:00,129.63
17:15,132.42
17:30,139.38
17:45,148.62
18:00,150.9
18:15,148.8
18:30,157.79
18:45,154.78
19:00,146.26
19:15,159.74
19:30,148.83
19:45,145.76
20:00,142.69
20:15,149.1
20:30,139.76
20:45,146.72
21:00,146.43
21:15,136.03
21:30,141.73
21:45,141.76
22:00,142.46
22:15,154.4
22:30,137.1
22:45,147.78
23:00,142.58
23:15,148.61
23:30,157.04
23:45,137.84
00:00,152.18
00:15,153.57
00:30,148.14
00:45,158.69
01:00,150.9
01:15,140.74
01:30,153.39
01:45,149.84
02:00,162.08
02:15,150.06
02:30,154
02:45,145.6
03:00,143.79
03:15,162.02
03:30,154.43
03:45,163.38
04:00,152.72
04:15,157.89
04:30,148.45
04:45,151.89
05:00,144.62
05:15,141.66
05:30,143.25
05:45,139.55
06:00,142.14
06:15,137.87
06:30,134.78
06:45,139.28
07:00,148.72
07:15,143.82
07:30,146.74
07:45,158.03
08:00,150.93
08:15,142.66
08:30,150.1
08:45,139.47
09:00,135.7
09:15,130.77
09:30,141.49
09:45,134.98
10:00,126.11
10:15,131.02
10:30,117.14
10:45,120.75
11:00,112.05
11:15,113.39
11:30,118.03
11:45,117.49
12:00,112.7
12:15,113.07
12:30,108.93
12:45,100.27
13:00,105.54
13:15,93.01
13:30,103.18
13:45,106.7
14:00,113.28
14:15,92.51
14:30,105.97
14:45,97.33
15:00,107.55
15:15,109.65
15:30,109.01
15:45,121.97
16:00,120.74
16:15,124.48
16:30,132.53
16:45,140.42
17:00,140.27
17:15,146.94
17:30,151.23
17:45,144.98
18:00,140.93
18:15,143.63
18:30,134.21
18:45,138.5
19:00,137.18
19:15,141.89
19:30,123.92
19:45,132.64
20:00,125.31
20:15,135.97
20:30,135.54
20:45,138.64
21:00,139.07
21:15,147.12
21:30,138.8
21:45,140.27
22:00,137.01
22:15,151.07
22:30,141.15
22:45,136.46
23:00,139.14
23:15,138.62
23:30,138.91
23:45,141.04
00:00,134.54
